Subject,BlockNo,TrialNo,Valence,Matchness,ACC,RT,Identity,ExpNo,Self_ref
4101,1,2,0,0,1,827,Self,Exp4a,Implicit
4101,1,3,2,0,1,637,Self,Exp4a,Implicit
4101,1,4,1,0,1,745,Self,Exp4a,Implicit
4101,1,5,1,1,1,638,Self,Exp4a,Implicit
4101,1,6,2,1,1,769,Other,Exp4a,Implicit
4101,1,7,0,1,1,681,Self,Exp4a,Implicit
4101,1,8,0,0,1,741,Other,Exp4a,Implicit
4101,1,9,1,0,1,901,Other,Exp4a,Implicit
4101,1,10,0,1,1,765,Other,Exp4a,Implicit
4101,1,11,1,1,0,1071,Other,Exp4a,Implicit
4101,1,12,2,1,1,569,Self,Exp4a,Implicit
4101,1,13,0,0,1,877,Self,Exp4a,Implicit
4101,1,14,1,0,1,929,Self,Exp4a,Implicit
4101,1,15,2,0,0,941,Other,Exp4a,Implicit
4101,1,16,0,1,1,795,Self,Exp4a,Implicit
4101,1,17,1,1,1,785,Self,Exp4a,Implicit
4101,1,18,0,1,1,988,Other,Exp4a,Implicit
4101,1,19,2,0,1,679,Self,Exp4a,Implicit
4101,1,21,1,0,1,695,Other,Exp4a,Implicit
4101,1,22,2,1,1,677,Other,Exp4a,Implicit
4101,1,23,2,1,1,539,Self,Exp4a,Implicit
4101,1,24,0,0,1,715,Other,Exp4a,Implicit
4101,1,25,0,1,1,771,Self,Exp4a,Implicit
4101,1,26,2,1,0,623,Other,Exp4a,Implicit
4101,1,27,0,0,1,917,Other,Exp4a,Implicit
4101,1,28,2,1,1,631,Self,Exp4a,Implicit
4101,1,29,1,0,1,825,Other,Exp4a,Implicit
4101,1,31,1,1,1,574,Other,Exp4a,Implicit
4101,1,32,1,1,0,680,Self,Exp4a,Implicit
4101,1,33,1,0,1,762,Self,Exp4a,Implicit
4101,1,34,2,0,1,795,Self,Exp4a,Implicit
4101,1,35,0,0,1,715,Self,Exp4a,Implicit
4101,1,36,0,1,1,1073,Other,Exp4a,Implicit
4101,1,37,0,0,1,723,Self,Exp4a,Implicit
4101,1,38,1,0,1,629,Self,Exp4a,Implicit
4101,1,39,0,0,1,709,Other,Exp4a,Implicit
4101,1,40,2,0,1,663,Self,Exp4a,Implicit
4101,1,41,1,1,1,761,Other,Exp4a,Implicit
4101,1,42,1,0,1,659,Other,Exp4a,Implicit
4101,1,43,2,1,1,868,Other,Exp4a,Implicit
4101,1,44,0,1,1,1002,Other,Exp4a,Implicit
4101,1,45,0,1,1,568,Self,Exp4a,Implicit
4101,1,46,2,1,1,642,Self,Exp4a,Implicit
4101,1,47,2,0,1,598,Other,Exp4a,Implicit
4101,1,48,1,1,0,567,Self,Exp4a,Implicit
4101,1,49,2,1,1,553,Other,Exp4a,Implicit
4101,1,51,0,0,1,647,Other,Exp4a,Implicit
4101,1,52,0,1,1,595,Self,Exp4a,Implicit
4101,1,53,1,1,1,641,Self,Exp4a,Implicit
4101,1,54,2,0,0,615,Other,Exp4a,Implicit
4101,1,55,1,0,1,810,Self,Exp4a,Implicit
4101,1,56,2,0,1,693,Self,Exp4a,Implicit
4101,1,57,2,1,0,684,Self,Exp4a,Implicit
4101,1,58,0,1,1,860,Other,Exp4a,Implicit
4101,1,59,1,0,1,710,Other,Exp4a,Implicit
4101,1,60,0,0,1,710,Self,Exp4a,Implicit
4101,2,1,1,1,1,946,Other,Exp4a,Implicit
4101,2,2,1,0,1,568,Self,Exp4a,Implicit
4101,2,3,1,1,1,700,Self,Exp4a,Implicit
4101,2,4,0,1,1,840,Other,Exp4a,Implicit
4101,2,5,1,0,1,768,Other,Exp4a,Implicit
4101,2,6,0,1,1,622,Self,Exp4a,Implicit
4101,2,7,0,0,1,760,Self,Exp4a,Implicit
4101,2,9,2,1,1,802,Other,Exp4a,Implicit
4101,2,10,2,1,1,681,Self,Exp4a,Implicit
4101,2,11,0,0,1,1035,Other,Exp4a,Implicit
4101,2,12,2,0,1,682,Self,Exp4a,Implicit
4101,2,14,0,0,0,638,Other,Exp4a,Implicit
4101,2,15,2,1,1,564,Self,Exp4a,Implicit
4101,2,16,1,1,1,540,Self,Exp4a,Implicit
4101,2,17,0,1,1,560,Self,Exp4a,Implicit
4101,2,18,0,1,0,600,Other,Exp4a,Implicit
4101,2,19,1,0,1,588,Self,Exp4a,Implicit
4101,2,20,0,0,1,620,Self,Exp4a,Implicit
4101,2,21,2,0,1,760,Self,Exp4a,Implicit
4101,2,22,2,1,1,554,Other,Exp4a,Implicit
4101,2,23,1,0,1,628,Other,Exp4a,Implicit
4101,2,24,2,0,1,527,Other,Exp4a,Implicit
4101,2,25,0,0,1,694,Other,Exp4a,Implicit
4101,2,26,0,1,1,767,Other,Exp4a,Implicit
4101,2,27,0,1,1,586,Self,Exp4a,Implicit
4101,2,28,1,1,1,624,Self,Exp4a,Implicit
4101,2,29,2,1,1,480,Self,Exp4a,Implicit
4101,2,30,1,0,1,614,Self,Exp4a,Implicit
4101,2,31,2,0,1,668,Self,Exp4a,Implicit
4101,2,32,1,0,1,832,Other,Exp4a,Implicit
4101,2,33,2,1,1,806,Other,Exp4a,Implicit
4101,2,34,1,1,1,932,Other,Exp4a,Implicit
4101,2,35,2,0,1,642,Other,Exp4a,Implicit
4101,2,36,0,0,0,546,Self,Exp4a,Implicit
4101,2,37,1,1,1,713,Other,Exp4a,Implicit
4101,2,38,1,0,1,587,Other,Exp4a,Implicit
4101,2,39,0,1,1,740,Self,Exp4a,Implicit
4101,2,40,2,1,1,668,Other,Exp4a,Implicit
4101,2,41,1,0,1,706,Self,Exp4a,Implicit
4101,2,42,1,1,1,932,Self,Exp4a,Implicit
4101,2,43,0,1,1,642,Other,Exp4a,Implicit
4101,2,44,2,0,1,666,Self,Exp4a,Implicit
4101,2,45,2,1,1,672,Self,Exp4a,Implicit
4101,2,46,0,0,1,544,Other,Exp4a,Implicit
4101,2,47,0,0,1,694,Self,Exp4a,Implicit
4101,2,48,2,0,1,830,Other,Exp4a,Implicit
4101,2,49,2,0,1,607,Other,Exp4a,Implicit
4101,2,50,0,1,1,519,Self,Exp4a,Implicit
4101,2,51,1,0,0,759,Other,Exp4a,Implicit
4101,2,52,0,0,1,699,Self,Exp4a,Implicit
4101,2,53,2,1,1,693,Other,Exp4a,Implicit
4101,2,54,0,1,1,576,Other,Exp4a,Implicit
4101,2,55,2,0,1,1014,Self,Exp4a,Implicit
4101,2,56,1,1,1,716,Self,Exp4a,Implicit
4101,2,57,0,0,1,596,Other,Exp4a,Implicit
