SubjectID	Age	Gender	ExpGroup	Trial	firstTarget	secondTarget	Position	RT	lengthDraw	lengthPercentage					
26	19	male	1	1	1	2	2	1.15E-02	61	0.1016667					
26	19	male	1	2	1	3	2	1.66E-02	174	0.29					
26	19	male	1	3	1	4	2	1.65E-02	80	0.1333333					
26	19	male	1	4	1	4	1	1.65E-02	69	0.115					
26	19	male	1	5	1	4	1	1.66E-02	81	0.135					
26	19	male	1	6	2	3	2	1.65E-02	194	0.3233333					
26	19	male	1	7	2	4	1	1.66E-02	105	0.175					
26	19	male	1	8	2	4	1	1.65E-02	117	0.195					
26	19	male	1	9	2	4	2	1.66E-02	179	0.2983333					
26	19	male	1	10	1	4	2	1.65E-02	90	0.15					
26	19	male	1	11	3	4	1	1.66E-02	104	0.1733333					
26	19	male	1	12	2	3	1	1.66E-02	187	0.3116667					
26	19	male	1	13	2	3	1	1.65E-02	172	0.2866667					
26	19	male	1	14	1	2	2	1.65E-02	51	0.085					
26	19	male	1	15	1	3	2	1.66E-02	144	0.24					
26	19	male	1	16	1	3	1	1.66E-02	148	0.2466667					
26	19	male	1	17	2	4	1	1.65E-02	58	0.09666667					
26	19	male	1	18	2	3	1	1.65E-02	164	0.2733333					
26	19	male	1	19	1	2	2	1.65E-02	69	0.115					
26	19	male	1	20	1	3	1	1.66E-02	192	0.32					
26	19	male	1	21	1	4	2	1.66E-02	51	0.085					
26	19	male	1	22	1	3	2	1.65E-02	175	0.2916667					
26	19	male	1	23	1	2	1	1.66E-02	35	0.05833333					
26	19	male	1	24	1	2	1	1.66E-02	30	0.05					
26	19	male	1	25	3	4	2	1.66E-02	158	0.2633333					
26	19	male	1	26	1	3	1	1.66E-02	155	0.2583333					
26	19	male	1	27	3	4	2	1.65E-02	172	0.2866667					
26	19	male	1	28	2	3	2	1.65E-02	179	0.2983333					
26	19	male	1	29	2	4	2	1.65E-02	98	0.1633333					
26	19	male	1	30	3	4	1	1.66E-02	117	0.195					
26	19	male	1	31	3	4	1	1.65E-02	141	0.235					
26	19	male	1	32	1	4	1	1.66E-02	79	0.1316667					
26	19	male	1	33	2	3	2	1.66E-02	229	0.3816667					
26	19	male	1	34	3	4	2	1.65E-02	182	0.3033333					
26	19	male	1	35	2	4	2	1.65E-02	31	0.05166667					
26	19	male	1	36	1	2	1	1.67E-02	33	0.055					
subjectID	age	gender	expGroup	selfTogood	selfTobad	selfTonormal	goodTobad	goodTonormal	badTonormal	goodToSelf	badToSelf	normalToSelf	badTogood	normalTogood	normalTobad
26	19	male	1	32.66667	165	76.33333	174.3333	93.33333	120.6667	60.33333	164.3333	73.66667	200.6667	102.6667	170.6667
