SubjectID Age Gender ExpGroup Trial firstTarget secondTarget Position RT lengthDraw lengthPercentage
32 19 female 1 1 1 2 1 1.038408e-002 167 2.783333e-001
32 19 female 1 2 1 3 1 1.662008e-002 192 3.200000e-001
32 19 female 1 3 1 2 2 1.649782e-002 171 2.850000e-001
32 19 female 1 4 2 4 1 1.649481e-002 138 2.300000e-001
32 19 female 1 5 2 3 2 1.647368e-002 331 5.516667e-001
32 19 female 1 6 3 4 1 1.657872e-002 205 3.416667e-001
32 19 female 1 7 1 3 1 1.655367e-002 176 2.933333e-001
32 19 female 1 8 1 2 2 1.655125e-002 177 2.950000e-001
32 19 female 1 9 2 3 2 1.659864e-002 337 5.616667e-001
32 19 female 1 10 2 4 2 1.648334e-002 147 2.450000e-001
32 19 female 1 11 1 2 1 1.660408e-002 149 2.483333e-001
32 19 female 1 12 2 4 2 1.647851e-002 123 2.050000e-001
32 19 female 1 13 2 4 1 1.660046e-002 135 2.250000e-001
32 19 female 1 14 1 2 2 1.660015e-002 168 2.800000e-001
32 19 female 1 15 1 2 1 1.647971e-002 138 2.300000e-001
32 19 female 1 16 1 3 2 1.654280e-002 187 3.116667e-001
32 19 female 1 17 1 4 1 1.656061e-002 13 2.166667e-002
32 19 female 1 18 1 3 2 1.649179e-002 174 2.900000e-001
32 19 female 1 19 2 3 1 1.654854e-002 337 5.616667e-001
32 19 female 1 20 1 4 1 1.647066e-002 16 2.666667e-002
32 19 female 1 21 1 4 2 1.646704e-002 18 3.000000e-002
32 19 female 1 22 3 4 1 1.653012e-002 150 2.500000e-001
32 19 female 1 23 3 4 1 1.654793e-002 176 2.933333e-001
32 19 female 1 24 3 4 2 1.658566e-002 161 2.683333e-001
32 19 female 1 25 3 4 2 1.650809e-002 164 2.733333e-001
32 19 female 1 26 3 4 2 1.657570e-002 133 2.216667e-001
32 19 female 1 27 2 4 1 1.647881e-002 118 1.966667e-001
32 19 female 1 28 2 3 1 1.650960e-002 354 5.900000e-001
32 19 female 1 29 2 3 2 1.654310e-002 356 5.933333e-001
32 19 female 1 30 1 3 1 1.649813e-002 170 2.833333e-001
32 19 female 1 31 2 4 2 1.647881e-002 125 2.083333e-001
32 19 female 1 32 1 4 2 1.654703e-002 23 3.833333e-002
32 19 female 1 33 2 3 1 1.648696e-002 338 5.633333e-001
32 19 female 1 34 1 3 2 1.652409e-002 193 3.216667e-001
32 19 female 1 35 1 4 2 1.650507e-002 23 3.833333e-002
32 19 female 1 36 1 4 1 1.658898e-002 43 7.166667e-002
subjectID age gender expGroup selfTogood selfTobad selfTonormal goodTobad goodTonormal badTonormal goodToSelf badToSelf normalToSelf badTogood normalTogood normalTobad
32 19 female 1 1.513333e+002 1.793333e+002 24 343 1.303333e+002 177 172 1.846667e+002 2.133333e+001 3.413333e+002 1.316667e+002 1.526667e+002
