Subject,Age,Handedness,Sex,BlockList.Sample,SubTrial,Label,Target,Shape,YesNoResp,Target.CRESP,Target.RESP,Target.ACC,Target.RT
1154,19,right,female,,1,常人,S.bmp,Good,No,n,,0,0
1154,19,right,female,,2,恶人,C.bmp,Bad,Yes,m,,0,0
1154,19,right,female,,3,常人,C.bmp,Bad,No,n,,0,0
1154,19,right,female,,4,善人,T.bmp,Normal,No,n,,0,0
1154,19,right,female,,5,善人,S.bmp,Good,Yes,m,,0,0
1154,19,right,female,,6,常人,T.bmp,Normal,Yes,m,,0,0
1154,19,right,female,,7,常人,T.bmp,Normal,Yes,m,m,1,215
1154,19,right,female,,8,善人,C.bmp,Bad,No,n,,0,0
1154,19,right,female,,9,善人,S.bmp,Good,Yes,m,n,0,308
1154,19,right,female,,10,恶人,S.bmp,Good,No,n,,0,0
1154,19,right,female,,11,恶人,T.bmp,Normal,No,n,n,1,290
1154,19,right,female,,12,恶人,C.bmp,Bad,Yes,m,n,0,329
1154,19,right,female,,13,恶人,C.bmp,Bad,Yes,m,n,0,364
1154,19,right,female,,14,常人,S.bmp,Good,No,n,n,1,356
1154,19,right,female,,15,恶人,T.bmp,Normal,No,n,,0,0
1154,19,right,female,,16,恶人,C.bmp,Bad,Yes,m,n,0,307
1154,19,right,female,,17,善人,C.bmp,Bad,No,n,n,1,474
1154,19,right,female,,18,常人,T.bmp,Normal,Yes,m,m,1,352
1154,19,right,female,,19,恶人,S.bmp,Good,No,n,m,0,222
1154,19,right,female,,20,常人,C.bmp,Bad,No,n,,0,0
1154,19,right,female,,21,善人,S.bmp,Good,Yes,m,m,1,212
1154,19,right,female,,22,常人,T.bmp,Normal,Yes,m,,0,0
1154,19,right,female,,23,善人,T.bmp,Normal,No,n,,0,0
1154,19,right,female,,24,善人,S.bmp,Good,Yes,m,m,1,311
1154,19,right,female,,25,常人,S.bmp,Good,No,n,,0,0
1154,19,right,female,,26,恶人,T.bmp,Normal,No,n,m,0,277
1154,19,right,female,,27,常人,T.bmp,Normal,Yes,m,m,1,426
1154,19,right,female,,28,善人,S.bmp,Good,Yes,m,,0,0
1154,19,right,female,,29,善人,C.bmp,Bad,No,n,n,1,638
1154,19,right,female,,30,恶人,C.bmp,Bad,Yes,m,n,0,386
1154,19,right,female,,31,恶人,C.bmp,Bad,Yes,m,n,0,389
1154,19,right,female,,32,善人,T.bmp,Normal,No,n,m,0,455
1154,19,right,female,,33,常人,T.bmp,Normal,Yes,m,,0,0
1154,19,right,female,,34,常人,C.bmp,Bad,No,n,m,0,208
1154,19,right,female,,35,善人,S.bmp,Good,Yes,m,,0,0
1154,19,right,female,,36,恶人,S.bmp,Good,No,n,m,0,326
1154,19,right,female,,37,恶人,S.bmp,Good,No,n,,0,0
1154,19,right,female,,38,善人,T.bmp,Normal,No,n,n,1,316
1154,19,right,female,,39,常人,C.bmp,Bad,No,n,,0,0
1154,19,right,female,,40,常人,T.bmp,Normal,Yes,m,n,0,232
1154,19,right,female,,41,常人,T.bmp,Normal,Yes,m,,0,0
1154,19,right,female,,42,恶人,C.bmp,Bad,Yes,m,n,0,228
1154,19,right,female,,43,常人,S.bmp,Good,No,n,n,1,288
1154,19,right,female,,44,善人,C.bmp,Bad,No,n,,0,0
1154,19,right,female,,45,恶人,C.bmp,Bad,Yes,m,n,0,207
1154,19,right,female,,46,恶人,T.bmp,Normal,No,n,n,1,618
1154,19,right,female,,47,善人,S.bmp,Good,Yes,m,m,1,241
1154,19,right,female,,48,善人,S.bmp,Good,Yes,m,n,0,323
1154,19,right,female,,49,恶人,C.bmp,Bad,Yes,m,n,0,343
1154,19,right,female,,50,善人,S.bmp,Good,Yes,m,m,1,230
1154,19,right,female,,51,常人,S.bmp,Good,No,n,m,0,350
1154,19,right,female,,52,常人,T.bmp,Normal,Yes,m,n,0,294
1154,19,right,female,,53,恶人,C.bmp,Bad,Yes,m,m,1,241
1154,19,right,female,,54,常人,C.bmp,Bad,No,n,n,1,233
1154,19,right,female,,55,善人,T.bmp,Normal,No,n,m,0,293
1154,19,right,female,,56,恶人,T.bmp,Normal,No,n,n,1,294
1154,19,right,female,,57,恶人,S.bmp,Good,No,n,n,1,274
1154,19,right,female,,58,常人,T.bmp,Normal,Yes,m,n,0,275
1154,19,right,female,,59,善人,S.bmp,Good,Yes,m,n,0,433
1154,19,right,female,,60,善人,C.bmp,Bad,No,n,n,1,400
1154,19,right,female,1,1,常人,S.bmp,Good,No,n,n,1,311
1154,19,right,female,1,2,善人,S.bmp,Good,Yes,m,m,1,303
1154,19,right,female,1,3,恶人,C.bmp,Bad,Yes,m,m,1,332
1154,19,right,female,1,4,常人,T.bmp,Normal,Yes,m,n,0,395
1154,19,right,female,1,5,常人,C.bmp,Bad,No,n,m,0,247
1154,19,right,female,1,6,善人,C.bmp,Bad,No,n,n,1,283
1154,19,right,female,1,7,常人,T.bmp,Normal,Yes,m,n,0,501
1154,19,right,female,1,8,善人,S.bmp,Good,Yes,m,m,1,271
1154,19,right,female,1,9,恶人,S.bmp,Good,No,n,n,1,247
1154,19,right,female,1,10,恶人,T.bmp,Normal,No,n,m,0,224
1154,19,right,female,1,11,恶人,C.bmp,Bad,Yes,m,,0,0
1154,19,right,female,1,12,善人,T.bmp,Normal,No,n,n,1,623
1154,19,right,female,1,13,常人,C.bmp,Bad,No,n,n,1,291
1154,19,right,female,1,14,常人,T.bmp,Normal,Yes,m,m,1,535
1154,19,right,female,1,15,恶人,C.bmp,Bad,Yes,m,m,1,520
1154,19,right,female,1,16,恶人,S.bmp,Good,No,n,,0,0
1154,19,right,female,1,17,恶人,T.bmp,Normal,No,n,n,1,219
1154,19,right,female,1,18,常人,T.bmp,Normal,Yes,m,n,0,261
1154,19,right,female,1,19,善人,T.bmp,Normal,No,n,m,0,241
1154,19,right,female,1,20,善人,S.bmp,Good,Yes,m,,0,0
1154,19,right,female,1,21,善人,S.bmp,Good,Yes,m,n,0,236
1154,19,right,female,1,22,恶人,C.bmp,Bad,Yes,m,m,1,418
1154,19,right,female,1,23,善人,C.bmp,Bad,No,n,n,1,240
1154,19,right,female,1,24,常人,S.bmp,Good,No,n,n,1,358
1154,19,right,female,1,25,善人,T.bmp,Normal,No,n,m,0,222
1154,19,right,female,1,26,恶人,C.bmp,Bad,Yes,m,n,0,211
1154,19,right,female,1,27,常人,T.bmp,Normal,Yes,m,m,1,265
1154,19,right,female,1,28,常人,S.bmp,Good,No,n,n,1,286
1154,19,right,female,1,29,善人,S.bmp,Good,Yes,m,n,0,280
1154,19,right,female,1,30,善人,C.bmp,Bad,No,n,m,0,19
1154,19,right,female,1,31,恶人,S.bmp,Good,No,n,,0,0
1154,19,right,female,1,32,常人,C.bmp,Bad,No,n,,0,0
1154,19,right,female,1,33,常人,T.bmp,Normal,Yes,m,,0,0
1154,19,right,female,1,34,善人,S.bmp,Good,Yes,m,m,1,272
1154,19,right,female,1,35,恶人,T.bmp,Normal,No,n,m,0,194
1154,19,right,female,1,36,恶人,C.bmp,Bad,Yes,m,m,1,245
1154,19,right,female,1,37,恶人,C.bmp,Bad,Yes,m,n,0,251
1154,19,right,female,1,38,常人,T.bmp,Normal,Yes,m,m,1,626
1154,19,right,female,1,39,恶人,T.bmp,Normal,No,n,,0,0
1154,19,right,female,1,40,善人,S.bmp,Good,Yes,m,,0,0
1154,19,right,female,1,41,恶人,S.bmp,Good,No,n,n,1,297
1154,19,right,female,1,42,常人,S.bmp,Good,No,n,n,1,297
1154,19,right,female,1,43,善人,T.bmp,Normal,No,n,,0,0
1154,19,right,female,1,44,常人,C.bmp,Bad,No,n,n,1,367
1154,19,right,female,1,45,善人,C.bmp,Bad,No,n,n,1,93
1154,19,right,female,1,46,恶人,C.bmp,Bad,Yes,m,n,0,8
1154,19,right,female,1,47,善人,S.bmp,Good,Yes,m,m,1,562
1154,19,right,female,1,48,常人,T.bmp,Normal,Yes,m,m,1,236
1154,19,right,female,1,49,恶人,C.bmp,Bad,Yes,m,n,0,235
1154,19,right,female,1,50,善人,S.bmp,Good,Yes,m,m,1,215
1154,19,right,female,1,51,善人,T.bmp,Normal,No,n,,0,0
1154,19,right,female,1,52,善人,S.bmp,Good,Yes,m,n,0,305
1154,19,right,female,1,53,常人,C.bmp,Bad,No,n,m,0,267
1154,19,right,female,1,54,善人,C.bmp,Bad,No,n,m,0,283
1154,19,right,female,1,55,常人,T.bmp,Normal,Yes,m,m,1,254
1154,19,right,female,1,56,恶人,T.bmp,Normal,No,n,m,0,438
1154,19,right,female,1,57,恶人,S.bmp,Good,No,n,n,1,272
1154,19,right,female,1,58,常人,T.bmp,Normal,Yes,m,n,0,220
