Subject,Age,Handedness,Sex,BlockList.Sample,SubTrial,Label,Target,Shape,YesNoResp,Target.CRESP,Target.RESP,Target.ACC,Target.RT
1,26,right,male,,1,坏人,H2.bmp,Normal,No,m,,0,0
1,26,right,male,,2,常人,H3.bmp,Normal,Yes,n,,0,0
1,26,right,male,,3,坏人,P3.bmp,Bad,Yes,n,m,0,506
1,26,right,male,,4,坏人,P2.bmp,Bad,Yes,n,,0,0
1,26,right,male,,5,常人,P4.bmp,Bad,No,m,,0,0
1,26,right,male,,6,好人,Trap3.bmp,Good,Yes,n,,0,0
1,26,right,male,,7,坏人,Trap2.bmp,Good,No,m,,0,0
1,26,right,male,,8,常人,H1.bmp,Normal,Yes,n,m,0,928
1,26,right,male,,9,好人,P1.bmp,Bad,No,m,,0,0
1,26,right,male,,10,好人,H4.bmp,Normal,No,m,,0,0
1,26,right,male,,11,好人,Trap1.bmp,Good,Yes,n,,0,0
1,26,right,male,,12,常人,Trap4.bmp,Good,No,m,,0,0
1,26,right,male,,13,好人,H4.bmp,Normal,No,m,,0,0
1,26,right,male,,14,常人,Trap4.bmp,Good,No,m,,0,0
1,26,right,male,,15,常人,H1.bmp,Normal,Yes,n,,0,0
1,26,right,male,,16,坏人,P3.bmp,Bad,Yes,n,,0,0
1,26,right,male,,17,好人,Trap3.bmp,Good,Yes,n,,0,0
1,26,right,male,,18,常人,H3.bmp,Normal,Yes,n,,0,0
1,26,right,male,,19,坏人,H2.bmp,Normal,No,m,n,0,475
1,26,right,male,,20,坏人,P2.bmp,Bad,Yes,n,,0,0
1,26,right,male,,21,常人,P4.bmp,Bad,No,m,,0,0
1,26,right,male,,22,坏人,Trap2.bmp,Good,No,m,m,1,963
1,26,right,male,,23,好人,P1.bmp,Bad,No,m,n,0,830
1,26,right,male,,24,好人,Trap1.bmp,Good,Yes,n,,0,0
1,26,right,male,,25,常人,Trap4.bmp,Good,No,m,m,1,912
1,26,right,male,,26,坏人,P2.bmp,Bad,Yes,n,n,1,811
1,26,right,male,,27,常人,H3.bmp,Normal,Yes,n,,0,0
1,26,right,male,,28,好人,Trap3.bmp,Good,Yes,n,,0,0
1,26,right,male,,29,常人,H1.bmp,Normal,Yes,n,,0,0
1,26,right,male,,30,好人,P1.bmp,Bad,No,m,,0,0
1,26,right,male,,31,坏人,Trap2.bmp,Good,No,m,n,0,786
1,26,right,male,,32,好人,H4.bmp,Normal,No,m,m,1,1000
1,26,right,male,,33,好人,Trap1.bmp,Good,Yes,n,,0,0
1,26,right,male,,34,坏人,H2.bmp,Normal,No,m,n,0,812
1,26,right,male,,35,坏人,P3.bmp,Bad,Yes,n,n,1,781
1,26,right,male,,36,常人,P4.bmp,Bad,No,m,m,1,963
1,26,right,male,,37,好人,P1.bmp,Bad,No,m,m,1,899
1,26,right,male,,38,常人,H1.bmp,Normal,Yes,n,m,0,894
1,26,right,male,,39,坏人,H2.bmp,Normal,No,m,m,1,986
1,26,right,male,,40,坏人,Trap2.bmp,Good,No,m,m,1,792
1,26,right,male,,41,坏人,P3.bmp,Bad,Yes,n,m,0,704
1,26,right,male,,42,常人,H3.bmp,Normal,Yes,n,n,1,830
1,26,right,male,,43,常人,Trap4.bmp,Good,No,m,m,1,631
1,26,right,male,,44,好人,Trap3.bmp,Good,Yes,n,n,1,549
1,26,right,male,,45,好人,H4.bmp,Normal,No,m,m,1,582
1,26,right,male,,46,坏人,P2.bmp,Bad,Yes,n,m,0,804
1,26,right,male,,47,好人,Trap1.bmp,Good,Yes,n,n,1,981
1,26,right,male,,48,常人,P4.bmp,Bad,No,m,n,0,848
1,26,right,male,,49,坏人,Trap2.bmp,Good,No,m,n,0,857
1,26,right,male,,50,好人,H4.bmp,Normal,No,m,,0,0
1,26,right,male,,51,好人,Trap1.bmp,Good,Yes,n,,0,0
1,26,right,male,,52,常人,Trap4.bmp,Good,No,m,n,0,542
1,26,right,male,,53,常人,H3.bmp,Normal,Yes,n,,0,0
1,26,right,male,,54,坏人,P2.bmp,Bad,Yes,n,m,0,648
1,26,right,male,,55,好人,P1.bmp,Bad,No,m,,0,0
1,26,right,male,,56,好人,Trap3.bmp,Good,Yes,n,n,1,537
1,26,right,male,,57,坏人,P3.bmp,Bad,Yes,n,n,1,978
1,26,right,male,,58,常人,H1.bmp,Normal,Yes,n,n,1,878
1,26,right,male,,59,坏人,H2.bmp,Normal,No,m,m,1,902
1,26,right,male,,60,常人,P4.bmp,Bad,No,m,n,0,855
1,26,right,male,,61,常人,Trap4.bmp,Good,No,m,,0,0
1,26,right,male,,62,好人,Trap1.bmp,Good,Yes,n,,0,0
1,26,right,male,,63,好人,H4.bmp,Normal,No,m,m,1,853
1,26,right,male,,64,常人,P4.bmp,Bad,No,m,,0,0
1,26,right,male,,65,坏人,P3.bmp,Bad,Yes,n,,0,0
1,26,right,male,,66,好人,Trap3.bmp,Good,Yes,n,,0,0
1,26,right,male,,67,坏人,Trap2.bmp,Good,No,m,,0,0
1,26,right,male,,68,坏人,H2.bmp,Normal,No,m,n,0,601
1,26,right,male,,69,坏人,P2.bmp,Bad,Yes,n,m,0,762
1,26,right,male,,70,常人,H3.bmp,Normal,Yes,n,n,1,523
1,26,right,male,,71,常人,H1.bmp,Normal,Yes,n,n,1,761
1,26,right,male,,72,好人,P1.bmp,Bad,No,m,,0,0
1,26,right,male,,73,常人,H3.bmp,Normal,Yes,n,m,0,670
1,26,right,male,,74,坏人,Trap2.bmp,Good,No,m,,0,0
1,26,right,male,,75,常人,P4.bmp,Bad,No,m,,0,0
1,26,right,male,,76,好人,P1.bmp,Bad,No,m,,0,0
1,26,right,male,,77,好人,Trap1.bmp,Good,Yes,n,n,1,428
1,26,right,male,,78,坏人,P3.bmp,Bad,Yes,n,n,1,759
