Subject,Age,Handedness,Sex,BlockList.Sample,SubTrial,shapepic,shape_pic,Label,Shape,YesNoResp,CorrectAnswer,Targetprac.RESP,Targetprac.ACC,Targetprac.RT,Target.RESP,Target.ACC,Target.RT,Code,Code1
10,23,right,male,,1,,S.bmp,常人,Bad,No,m,,0,0,,,,,
10,23,right,male,,2,,C.bmp,好人,Normal,No,m,m,1,386,,,,,
10,23,right,male,,3,,C.bmp,常人,Normal,Yes,k,m,0,518,,,,,
10,23,right,male,,4,,C.bmp,常人,Normal,Yes,k,k,1,411,,,,,
10,23,right,male,,5,,S.bmp,坏人,Bad,Yes,k,,0,0,,,,,
10,23,right,male,,6,,T.bmp,好人,Good,Yes,k,k,1,856,,,,,
10,23,right,male,,7,,S.bmp,坏人,Bad,Yes,k,k,1,530,,,,,
10,23,right,male,,8,,T.bmp,好人,Good,Yes,k,m,0,460,,,,,
10,23,right,male,,9,,S.bmp,好人,Bad,No,m,m,1,566,,,,,
10,23,right,male,,10,,C.bmp,坏人,Normal,No,m,m,1,504,,,,,
10,23,right,male,,11,,T.bmp,常人,Good,No,m,m,1,484,,,,,
10,23,right,male,,12,,T.bmp,坏人,Good,No,m,,0,0,,,,,
10,23,right,male,,13,,C.bmp,好人,Normal,No,m,m,1,754,,,,,
10,23,right,male,,14,,C.bmp,常人,Normal,Yes,k,k,1,548,,,,,
10,23,right,male,,15,,T.bmp,常人,Good,No,m,m,1,508,,,,,
10,23,right,male,,16,,T.bmp,好人,Good,Yes,k,,0,0,,,,,
10,23,right,male,,17,,C.bmp,坏人,Normal,No,m,m,1,619,,,,,
10,23,right,male,,18,,T.bmp,坏人,Good,No,m,k,0,905,,,,,
10,23,right,male,,19,,S.bmp,坏人,Bad,Yes,k,k,1,561,,,,,
10,23,right,male,,20,,S.bmp,好人,Bad,No,m,k,0,495,,,,,
10,23,right,male,,21,,S.bmp,常人,Bad,No,m,m,1,806,,,,,
10,23,right,male,,22,,S.bmp,坏人,Bad,Yes,k,,0,0,,,,,
10,23,right,male,,23,,T.bmp,好人,Good,Yes,k,k,1,748,,,,,
10,23,right,male,,24,,C.bmp,常人,Normal,Yes,k,m,0,316,,,,,
10,23,right,male,,25,,S.bmp,常人,Bad,No,m,m,1,701,,,,,
10,23,right,male,,26,,C.bmp,坏人,Normal,No,m,k,0,743,,,,,
10,23,right,male,,27,,T.bmp,好人,Good,Yes,k,,0,0,,,,,
10,23,right,male,,28,,T.bmp,坏人,Good,No,m,k,0,883,,,,,
10,23,right,male,,29,,S.bmp,坏人,Bad,Yes,k,k,1,809,,,,,
10,23,right,male,,30,,S.bmp,坏人,Bad,Yes,k,k,1,459,,,,,
10,23,right,male,,31,,C.bmp,好人,Normal,No,m,m,1,675,,,,,
10,23,right,male,,32,,T.bmp,好人,Good,Yes,k,,0,0,,,,,
10,23,right,male,,33,,C.bmp,常人,Normal,Yes,k,m,0,371,,,,,
10,23,right,male,,34,,C.bmp,常人,Normal,Yes,k,k,1,528,,,,,
10,23,right,male,,35,,T.bmp,常人,Good,No,m,m,1,888,,,,,
10,23,right,male,,36,,S.bmp,好人,Bad,No,m,m,1,510,,,,,
10,23,right,male,,37,,C.bmp,好人,Normal,No,m,k,0,612,,,,,
10,23,right,male,,38,,T.bmp,常人,Good,No,m,m,1,491,,,,,
10,23,right,male,,39,,T.bmp,坏人,Good,No,m,m,1,633,,,,,
10,23,right,male,,40,,C.bmp,坏人,Normal,No,m,m,1,469,,,,,
10,23,right,male,,41,,T.bmp,好人,Good,Yes,k,k,1,911,,,,,
10,23,right,male,,42,,C.bmp,常人,Normal,Yes,k,k,1,939,,,,,
10,23,right,male,,43,,C.bmp,常人,Normal,Yes,k,k,1,505,,,,,
10,23,right,male,,44,,T.bmp,好人,Good,Yes,k,m,0,345,,,,,
10,23,right,male,,45,,S.bmp,坏人,Bad,Yes,k,k,1,909,,,,,
10,23,right,male,,46,,S.bmp,常人,Bad,No,m,m,1,463,,,,,
10,23,right,male,,47,,S.bmp,好人,Bad,No,m,m,1,1003,,,,,
10,23,right,male,,48,,S.bmp,坏人,Bad,Yes,k,k,1,403,,,,,
10,23,right,male,,49,,T.bmp,坏人,Good,No,m,m,1,549,,,,,
10,23,right,male,,50,,T.bmp,常人,Good,No,m,m,1,477,,,,,
10,23,right,male,,51,,S.bmp,常人,Bad,No,m,m,1,527,,,,,
10,23,right,male,,52,,S.bmp,坏人,Bad,Yes,k,k,1,359,,,,,
10,23,right,male,,53,,C.bmp,常人,Normal,Yes,k,k,1,685,,,,,
10,23,right,male,,54,,T.bmp,好人,Good,Yes,k,m,0,451,,,,,
10,23,right,male,,55,,C.bmp,坏人,Normal,No,m,m,1,659,,,,,
10,23,right,male,,56,,T.bmp,好人,Good,Yes,k,k,1,883,,,,,
10,23,right,male,,57,,C.bmp,好人,Normal,No,m,m,1,425,,,,,
10,23,right,male,,58,,S.bmp,好人,Bad,No,m,m,1,945,,,,,
