Subject,Session,Age,Handedness,Sex,BlockList.Sample,PracList.Sample,SubTrial,Label,Target,Shape,morality,identity,YesNoResp,CorrectAnswer,Targetprac.RESP,Targetprac.ACC,Targetprac.RT,Target.RESP,Target.ACC,Target.RT,CodePrime,CodeTarget
6201,2,21,right,male,,1,1,NormalSelf.bmp,Tra.bmp,Normalself,normal,self,Yes,m,m,1,651,,,,,
6201,2,21,right,male,,1,2,NormalOther.bmp,S.bmp,Normalother,normal,other,Yes,m,,0,0,,,,,
6201,2,21,right,male,,1,3,GoodSelf.bmp,C.bmp,Goodself,moral,self,Yes,m,m,1,432,,,,,
6201,2,21,right,male,,1,4,NormalOther.bmp,Tra.bmp,Normalself,normal,other,No,k,k,1,690,,,,,
6201,2,21,right,male,,1,5,NormalSelf.bmp,P.bmp,Goodother,normal,self,No,k,k,1,571,,,,,
6201,2,21,right,male,,1,6,GoodSelf.bmp,Tra.bmp,Normalself,moral,self,No,k,k,1,477,,,,,
6201,2,21,right,male,,1,7,NormalSelf.bmp,Tra.bmp,Normalself,normal,self,Yes,m,m,1,503,,,,,
6201,2,21,right,male,,1,8,NormalOther.bmp,S.bmp,Normalother,normal,other,Yes,m,m,1,761,,,,,
6201,2,21,right,male,,1,9,NormalOther.bmp,S.bmp,Normalother,normal,other,Yes,m,m,1,929,,,,,
6201,2,21,right,male,,1,10,GoodOther.bmp,T.bmp,Badother,moral,other,No,k,k,1,714,,,,,
6201,2,21,right,male,,1,11,BadSelf.bmp,D.bmp,Badself,immoral,self,Yes,m,m,1,620,,,,,
6201,2,21,right,male,,1,12,NormalSelf.bmp,C.bmp,Goodself,normal,self,No,k,k,1,878,,,,,
6201,2,21,right,male,,1,13,GoodOther.bmp,C.bmp,Goodself,moral,other,No,k,m,0,623,,,,,
6201,2,21,right,male,,1,14,NormalOther.bmp,S.bmp,Normalother,normal,other,Yes,m,m,1,609,,,,,
6201,2,21,right,male,,1,15,GoodOther.bmp,D.bmp,Badself,moral,other,No,k,k,1,651,,,,,
6201,2,21,right,male,,1,16,BadOther.bmp,T.bmp,Badother,immoral,other,Yes,m,m,1,541,,,,,
6201,2,21,right,male,,1,17,NormalOther.bmp,T.bmp,Badother,normal,other,No,k,k,1,1024,,,,,
6201,2,21,right,male,,1,18,GoodOther.bmp,S.bmp,Normalother,moral,other,No,k,k,1,826,,,,,
6201,2,21,right,male,,1,19,GoodOther.bmp,P.bmp,Goodother,moral,other,Yes,m,m,1,604,,,,,
6201,2,21,right,male,,1,20,GoodSelf.bmp,C.bmp,Goodself,moral,self,Yes,m,m,1,638,,,,,
6201,2,21,right,male,,1,21,BadOther.bmp,T.bmp,Badother,immoral,other,Yes,m,m,1,631,,,,,
6201,2,21,right,male,,1,22,GoodSelf.bmp,D.bmp,Badself,moral,self,No,k,k,1,553,,,,,
6201,2,21,right,male,,1,23,NormalOther.bmp,S.bmp,Normalother,normal,other,Yes,m,m,1,802,,,,,
6201,2,21,right,male,,1,24,BadOther.bmp,Tra.bmp,Normalself,immoral,other,No,k,k,1,716,,,,,
6201,2,21,right,male,,1,25,GoodSelf.bmp,S.bmp,Normalother,moral,self,No,k,k,1,646,,,,,
6201,2,21,right,male,,1,26,GoodSelf.bmp,C.bmp,Goodself,moral,self,Yes,m,m,1,352,,,,,
6201,2,21,right,male,,1,27,BadOther.bmp,T.bmp,Badother,immoral,other,Yes,m,k,0,722,,,,,
6201,2,21,right,male,,1,28,GoodOther.bmp,P.bmp,Goodother,moral,other,Yes,m,m,1,427,,,,,
6201,2,21,right,male,,1,29,BadSelf.bmp,D.bmp,Badself,immoral,self,Yes,m,m,1,1077,,,,,
6201,2,21,right,male,,1,30,NormalSelf.bmp,T.bmp,Badother,normal,self,No,k,k,1,518,,,,,
6201,2,21,right,male,,1,31,GoodSelf.bmp,C.bmp,Goodself,moral,self,Yes,m,m,1,688,,,,,
6201,2,21,right,male,,1,32,BadSelf.bmp,P.bmp,Goodother,immoral,self,No,k,k,1,738,,,,,
6201,2,21,right,male,,1,33,BadSelf.bmp,Tra.bmp,Normalself,immoral,self,No,k,k,1,932,,,,,
6201,2,21,right,male,,1,34,NormalOther.bmp,C.bmp,Goodself,normal,other,No,k,k,1,694,,,,,
6201,2,21,right,male,,1,35,NormalSelf.bmp,S.bmp,Normalother,normal,self,No,k,k,1,800,,,,,
6201,2,21,right,male,,1,36,NormalSelf.bmp,D.bmp,Badself,normal,self,No,k,k,1,529,,,,,
6201,2,21,right,male,,1,37,BadOther.bmp,P.bmp,Goodother,immoral,other,No,k,k,1,668,,,,,
6201,2,21,right,male,,1,38,GoodSelf.bmp,P.bmp,Goodother,moral,self,No,k,k,1,886,,,,,
6201,2,21,right,male,,1,39,GoodOther.bmp,P.bmp,Goodother,moral,other,Yes,m,k,0,896,,,,,
6201,2,21,right,male,,1,40,NormalSelf.bmp,Tra.bmp,Normalself,normal,self,Yes,m,m,1,394,,,,,
6201,2,21,right,male,,1,41,BadOther.bmp,T.bmp,Badother,immoral,other,Yes,m,m,1,548,,,,,
6201,2,21,right,male,,1,42,GoodSelf.bmp,T.bmp,Badother,moral,self,No,k,k,1,846,,,,,
6201,2,21,right,male,,1,43,BadSelf.bmp,D.bmp,Badself,immoral,self,Yes,m,m,1,526,,,,,
6201,2,21,right,male,,1,44,BadSelf.bmp,C.bmp,Goodself,immoral,self,No,k,k,1,768,,,,,
6201,2,21,right,male,,1,45,GoodOther.bmp,P.bmp,Goodother,moral,other,Yes,m,m,1,482,,,,,
6201,2,21,right,male,,1,46,GoodSelf.bmp,C.bmp,Goodself,moral,self,Yes,m,m,1,308,,,,,
6201,2,21,right,male,,1,47,BadSelf.bmp,T.bmp,Badother,immoral,self,No,k,k,1,558,,,,,
6201,2,21,right,male,,1,48,GoodOther.bmp,P.bmp,Goodother,moral,other,Yes,m,m,1,392,,,,,
6201,2,21,right,male,,1,49,NormalOther.bmp,P.bmp,Goodother,normal,other,No,k,m,0,882,,,,,
6201,2,21,right,male,,1,50,GoodOther.bmp,Tra.bmp,Normalself,moral,other,No,k,k,1,547,,,,,
6201,2,21,right,male,,1,51,NormalOther.bmp,D.bmp,Badself,normal,other,No,k,,0,0,,,,,
6201,2,21,right,male,,1,52,NormalSelf.bmp,Tra.bmp,Normalself,normal,self,Yes,m,m,1,830,,,,,
6201,2,21,right,male,,1,53,BadOther.bmp,D.bmp,Badself,immoral,other,No,k,k,1,992,,,,,
6201,2,21,right,male,,1,54,NormalSelf.bmp,Tra.bmp,Normalself,normal,self,Yes,m,m,1,410,,,,,
6201,2,21,right,male,,1,55,BadOther.bmp,T.bmp,Badother,immoral,other,Yes,m,m,1,532,,,,,
6201,2,21,right,male,,1,56,BadSelf.bmp,D.bmp,Badself,immoral,self,Yes,m,m,1,646,,,,,
6201,2,21,right,male,,1,57,BadSelf.bmp,S.bmp,Normalother,immoral,self,No,k,k,1,751,,,,,
6201,2,21,right,male,,1,58,BadSelf.bmp,D.bmp,Badself,immoral,self,Yes,m,m,1,705,,,,,
6201,2,21,right,male,,1,59,BadOther.bmp,C.bmp,Goodself,immoral,other,No,k,k,1,722,,,,,
6201,2,21,right,male,,1,60,BadOther.bmp,S.bmp,Normalother,immoral,other,No,k,k,1,1020,,,,,
6201,2,21,right,male,1,,1,BadOther.bmp,S.bmp,Normalother,bad,other,No,k,,,,k,1,605,16,1
6201,2,21,right,male,1,,2,BadSelf.bmp,D.bmp,Badself,bad,self,Yes,m,,,,m,1,537,160,10
6201,2,21,right,male,1,,3,NormalSelf.bmp,C.bmp,Goodself,normal,self,No,k,,,,k,1,517,96,6
6201,2,21,right,male,1,,4,GoodOther.bmp,C.bmp,Goodself,good,other,No,k,,,,k,1,728,32,2
6201,2,21,right,male,1,,5,GoodOther.bmp,P.bmp,Goodother,good,other,Yes,m,,,,k,0,624,128,8
6201,2,21,right,male,1,,6,NormalOther.bmp,S.bmp,Normalother,normal,other,Yes,m,,,,m,1,643,128,8
6201,2,21,right,male,1,,7,NormalSelf.bmp,P.bmp,Goodother,normal,self,No,k,,,,m,0,671,96,6
6201,2,21,right,male,1,,8,GoodOther.bmp,T.bmp,Badother,good,other,No,k,,,,m,0,771,32,2
6201,2,21,right,male,1,,9,BadSelf.bmp,D.bmp,Badself,bad,self,Yes,m,,,,m,1,623,160,10
6201,2,21,right,male,1,,10,GoodSelf.bmp,C.bmp,Goodself,good,self,Yes,m,,,,m,1,347,176,11
6201,2,21,right,male,1,,11,GoodSelf.bmp,C.bmp,Goodself,good,self,Yes,m,,,,m,1,431,176,11
